dataset,model,params,epochs,lr,batch_size,final_test_acc,macro_f1,macro_recall,macro_precision,pr_auc,train_time_sec
dermamnist,cnn,94986,20,0.001,128,0.7413,0.5621,0.5489,0.5892,0.6124,386.7
dermamnist,vnn,281482,20,0.001,128,0.8088,0.6715,0.6582,0.6934,0.7241,533.3
dermamnist,vit,546186,20,0.001,128,0.7455,0.5734,0.5591,0.5982,0.6219,456.4
dermamnist,cnn,94599,30,0.001,128,0.7566,0.4767,0.4561,0.5079,0.5477,188.0
dermamnist,vnn,280647,30,0.001,128,0.7506,0.5018,0.4858,0.565,0.5517,210.0
dermamnist,vit,545799,30,0.001,128,0.7546,0.5049,0.4766,0.6442,0.5378,261.6
